conversation_id,turn_no,utterance,new_agent_reply,Qween Router Response,PPL,BLEU-2,BERTScore-F1,Distinct-2,ROUGE-1
0,1,"Hey, I want to book the Wellness Retreat. Could you please tell me about the package details?","The package has lots of amenities like Health Retreat, Fitness Classes, Relaxation, Nature Walks, Spas, Yoga, and Meditation, which will provide you with a fresh mind and body, making you relaxed and tension-free.","---

Please provide the conversation history and the current user utterance for the scenario you'd like me to respond to. I'll be ready to provide the agent response.",23.776,0.017,0.396,0.963,0.159
0,3,Can you tell me more about the package?,"The package will cost you $15,000.","I can provide you with general information about wellness retreats. If you're looking for specific details about a particular package, I'd be happy to help you find that information. However, since there are no relevant keyterms for the insurance domain, I will provide the following output:

If you're looking for a break from the stresses of daily life, a wellness retreat can be an excellent choice. Our retreats offer a range of activities designed to promote relaxation and rejuvenation. I can provide you with",7.292,0.005,0.415,0.916,0.085
0,5,"Yes, but I can increase it to $15,000.","You don't have to compromise on anything. Even the best luxurious hotel can be included with this amount. The updated amenities are Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. The previous amenities remain the same.","We have a package that includes all the amenities you mentioned, such as health retreats, fitness classes, relaxation, nature walks, spas, yoga, and meditation. The package costs $15,000, which is a competitive price considering the quality and range of services included. If you're looking to increase the package price, we can certainly discuss options with you. However, I want to emphasize that this package offers exceptional value for the price. Can I provide you with more information about the package",7.21,0.013,0.557,0.987,0.306
0,7,"Okay, let me proceed with this budget, but please don't overcharge me.","As far as your budget is concerned, you have options for Accommodation, Healthy Cuisine, and Yoga and Meditation, along with amenities like Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. You will never regret the experience.","Our wellness retreat packages are designed to provide you with a holistic experience. We focus on healing, relaxation, and rejuvenation. Our retreat includes various activities like yoga, meditation, and spa treatments. We believe that everyone deserves a break from their daily routine to recharge and come back feeling refreshed. Our wellness retreats are perfect for those looking to improve their mental and physical well-being. We offer different packages to suit your needs and budget. Our packages include access to our wellness center, fitness classes,",3.848,0.012,0.579,0.988,0.286
0,9,"No, thanks. I would prefer to explore different cities rather than staying in a Spa resort for the whole day.","Thanks for your time, we are removing the Spa resort service.","Agent: 
User Utterance: User: No, thanks. I would prefer to explore different cities rather than staying in a Spa resort for the whole day.
Keyterms: 
- **Extracted Keyterm:** No, thanks  
Justification: The user explicitly states their preference for not staying in a spa resort.
- **Extracted Keyterm:** explore different cities  
Justification: The user expresses a desire to explore different cities, indicating a preference for non-spa activities.
- **",9.335,0.03,0.384,0.836,0.132
0,11,What about the accommodation facility in the Wellness Retreat?,"This package offers a range of amenities like Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks, allowing you to enjoy both adventurous activities and peaceful leisure time.","User: I am not interested in any of the packages. What else can I book?
Agent: We have a variety of other services, including corporate events, team-building activities, and wellness programs that cater to different needs and interests. What type of event are you looking to organize?
Intent: None  
Keyterms: Corporate events, Team-building activities, Wellness programs  
Justification: The User expresses disinterest in the packages but inquires about other services that can be booked. This indicates a",9.145,0.011,0.501,1.0,0.167
0,13,"I have my own budget that I'm willing to pay, but please don't mislead me.","Yes, we offer the same facilities and services separately. You can opt for that by paying only $19,000. If you need something more, please provide us with your budget, and we will customize the package accordingly.","The Wellness Retreat package includes a range of amenities, such as Health Retreat, Fitness Classes, Relaxation, Nature Walks, Spas, Yoga, and Meditation. These activities will provide you with a fresh mind and body, making you relaxed and tension-free. The package has options for Accommodation, Healthy Cuisine, and Yoga and Meditation, along with amenities like Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. You can enjoy both adventurous",16.873,0.044,0.467,1.0,0.218
0,15,"I want to purchase this package, but I am planning to take another tour package after this one. Let's close the deal at $19,000.","You should consider the adventurous wildlife experience. We can provide you with an accommodation option, and the package will cost you $17,000. It's worth the price.","Based on your requirements, we have come up with a customized package that includes all the amenities you need. Our package includes the following: Accommodation, Healthy Cuisine, Yoga and Meditation, Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. This package is available for $19,000. If you need to make any changes, please let us know.  
Keyterms: Accommodation, Healthy Cuisine, Yoga and Meditation, Healing Ther",7.96,0.012,0.537,0.912,0.204
0,17,"I cannot increase my budget for this, so let's call off the deal.","You will get many options within your range that you can enjoy, learn new things from, and never regret your decision. Please reconsider your budget.","You should consider the adventurous wildlife experience. We can provide you with an accommodation option, and the package will cost you $17,000. It’s worth the price.

---  
Note: The response will be generated without referencing any expert outputs. The output will be based on the selected intent, keyterms, and persuasion. The agent-style response will be concise, empathetic, and persuasive.",47.388,0.012,0.492,0.948,0.14
0,19,I will look for a few options before making my final decision. You are offering a lot of things. Do you have any customer loyalty programs?,"Dear Sir, we cannot go below certain limits. Thank you for your understanding. If you have any further questions or would like to proceed with the package, feel free to reach out. Have a great day ahead!","We have a customer loyalty program that rewards our loyal customers with discounts, free services, and special offers. As a valued customer, you'll receive a 5% discount on every booking made through our website. We're committed to providing you with an unforgettable experience, and our loyalty program is designed to show our appreciation for your loyalty. You can reach us at +123-456-7890 or email us at wellness@ to learn more about the package and how you can join our loyalty program",5.705,0.045,0.437,0.95,0.246
