conversation_id,turn_no,utterance,new_agent_reply,gemma Router Response
0,1,"Hey, I want to book the Wellness Retreat. Could you please tell me about the package details?","The package has lots of amenities like Health Retreat, Fitness Classes, Relaxation, Nature Walks, Spas, Yoga, and Meditation, which will provide you with a fresh mind and body, making you relaxed and tension-free.","Absolutely! The Wellness Retreat package includes seven nights’ accommodation, daily yoga and meditation sessions, healthy gourmet meals, and access to our spa facilities. It’s designed to help you relax, rejuvenate, and reconnect with yourself. Would you like me to send you a detailed brochure with pricing and availability?"
0,3,Can you tell me more about the package?,"The package will cost you $15,000.","Certainly! The Wellness Retreat package includes Health Retreats, Fitness Classes, Relaxation sessions, Nature Walks, Spas, Yoga, and Meditation sessions, all designed to help you relax and rejuvenate. Would you like me to delve into any specific aspect of the package, such as the spa treatments or fitness schedule?"
0,5,"Yes, but I can increase it to $15,000.","You don't have to compromise on anything. Even the best luxurious hotel can be included with this amount. The updated amenities are Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. The previous amenities remain the same.","Wonderful! So, you’re happy to proceed with the $15,000 Wellness Retreat package, including the spas, fitness classes, yoga, and nature walks. Let’s move forward with the booking process then."
0,7,"Okay, let me proceed with this budget, but please don't overcharge me.","As far as your budget is concerned, you have options for Accommodation, Healthy Cuisine, and Yoga and Meditation, along with amenities like Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. You will never regret the experience.","I understand your concern, and I want to assure you that we are committed to transparency and fair pricing. The $15,000 package includes all the luxurious amenities you’ve described, and I’ll personally double-check the final cost to ensure it aligns perfectly with your budget. Let’s proceed with confidence, knowing that you’re getting the best possible experience."
0,9,"No, thanks. I would prefer to explore different cities rather than staying in a Spa resort for the whole day.","Thanks for your time, we are removing the Spa resort service.",It sounds like you're looking for a more active travel experience! I understand that a spa resort for the entire day might not be the best fit for you. Let’s explore some fantastic cities instead. Would you like me to suggest some destinations based on your interests?
0,11,What about the accommodation facility in the Wellness Retreat?,"This package offers a range of amenities like Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks, allowing you to enjoy both adventurous activities and peaceful leisure time.","""Certainly! The Wellness Retreat offers a beautiful accommodation facility. You'll find comfortable rooms designed for relaxation and rejuvenation, perfectly complementing the retreat's focus on health and well-being. Would you like me to provide you with more details about the room types available?"""
0,13,"I have my own budget that I'm willing to pay, but please don't mislead me.","Yes, we offer the same facilities and services separately. You can opt for that by paying only $19,000. If you need something more, please provide us with your budget, and we will customize the package accordingly.","I understand your hesitation, and I want to assure you that we are committed to complete transparency. Let's discuss your budget and how the Wellness Retreat can meet your needs, ensuring you have a clear understanding of everything included."
0,15,"I want to purchase this package, but I am planning to take another tour package after this one. Let's close the deal at $19,000.","You should consider the adventurous wildlife experience. We can provide you with an accommodation option, and the package will cost you $17,000. It's worth the price.","Wonderful! Let's proceed with the Wellness Retreat package at $19,000. To ensure a seamless experience, we can certainly coordinate the booking of your subsequent tour package. Would you like me to start looking into options for that as well?"
0,17,"I cannot increase my budget for this, so let's call off the deal.","You will get many options within your range that you can enjoy, learn new things from, and never regret your decision. Please reconsider your budget.",I understand. Let’s cancel the deal then. I’m sorry we couldn’t find a solution that worked for you. Is there anything else I can assist you with today?
0,19,I will look for a few options before making my final decision. You are offering a lot of things. Do you have any customer loyalty programs?,"Dear Sir, we cannot go below certain limits. Thank you for your understanding. If you have any further questions or would like to proceed with the package, feel free to reach out. Have a great day ahead!","You are offering a lot of things. Do you have any customer loyalty programs?
––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––"
1,1,Hi! I really like your Beach Resort package. Can you please tell me the price?,"This package is available at a very affordable price of $7,000, which is quite reasonable for any tourist.","Certainly! The Beach Resort package starts at $2,500 per person for a 7-day trip, including flights and accommodation. Would you like me to provide more details about the inclusions?"
1,3,Can you provide me the exact price of the package?,"The package will cost you $21,900.","Certainly! The total price for the Beach Resort package is $7,000."
1,5,What facilities are available at the Beach Resort?,"This package will give you a true beachfront vibe and offers a wide range of amenities like Scuba Diving, Beach Games, Jet Skiing, Kids Club, Beachfront Lounging, and Scooter Rentals, creating the perfect vacation experience for you.","The Beach Resort offers a wide range of facilities, including multiple swimming pools, a private beach, a kids’ club, and various dining options.
––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––"
