conversation_id,turn_no,utterance,new_agent_reply,Gemma Single Response,PPL,BLEU-2,BERTScore-F1,Distinct-2,ROUGE-1
0,1,"Hey, I want to book the Wellness Retreat. Could you please tell me about the package details?","The package has lots of amenities like Health Retreat, Fitness Classes, Relaxation, Nature Walks, Spas, Yoga, and Meditation, which will provide you with a fresh mind and body, making you relaxed and tension-free.","Certainly! The Wellness Retreat includes accommodation, daily yoga and meditation sessions, healthy meals, and spa treatments.",29.799,0.012,0.656,1.0,0.28
0,3,Can you tell me more about the package?,"The package will cost you $15,000.","Sure, let’s delve deeper. What specifically are you interested in knowing?",18.059,0.03,0.339,1.0,0.105
0,5,"Yes, but I can increase it to $15,000.","You don't have to compromise on anything. Even the best luxurious hotel can be included with this amount. The updated amenities are Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. The previous amenities remain the same.","Okay, let's proceed with the $15,000 package then.",33.086,0.001,0.364,1.0,0.077
0,7,"Okay, let me proceed with this budget, but please don't overcharge me.","As far as your budget is concerned, you have options for Accommodation, Healthy Cuisine, and Yoga and Meditation, along with amenities like Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. You will never regret the experience.","Absolutely. The total cost remains $15,000.",46.306,0.0,0.383,1.0,0.042
0,9,"No, thanks. I would prefer to explore different cities rather than staying in a Spa resort for the whole day.","Thanks for your time, we are removing the Spa resort service.","Okay, let’s explore some cities! Where are you thinking of traveling?",48.167,0.03,0.41,1.0,0.087
0,11,What about the accommodation facility in the Wellness Retreat?,"This package offers a range of amenities like Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks, allowing you to enjoy both adventurous activities and peaceful leisure time.",We offer luxurious suites and private villas.,424.192,0.002,0.533,1.0,0.108
0,13,"I have my own budget that I'm willing to pay, but please don't mislead me.","Yes, we offer the same facilities and services separately. You can opt for that by paying only $19,000. If you need something more, please provide us with your budget, and we will customize the package accordingly.",I understand your concern. Let’s discuss your budget and ensure transparency.,139.89,0.004,0.476,1.0,0.122
0,15,"I want to purchase this package, but I am planning to take another tour package after this one. Let's close the deal at $19,000.","You should consider the adventurous wildlife experience. We can provide you with an accommodation option, and the package will cost you $17,000. It's worth the price.","Great! Let's proceed with the $19,000 package then.",36.054,0.008,0.521,1.0,0.263
0,17,"I cannot increase my budget for this, so let's call off the deal.","You will get many options within your range that you can enjoy, learn new things from, and never regret your decision. Please reconsider your budget.","Okay, no problem. Let me know if you change your mind.",16.895,0.012,0.383,1.0,0.111
0,19,I will look for a few options before making my final decision. You are offering a lot of things. Do you have any customer loyalty programs?,"Dear Sir, we cannot go below certain limits. Thank you for your understanding. If you have any further questions or would like to proceed with the package, feel free to reach out. Have a great day ahead!","Yes, we have a loyalty program.",38.488,0.001,0.377,1.0,0.14
1,1,Hi! I really like your Beach Resort package. Can you please tell me the price?,"This package is available at a very affordable price of $7,000, which is quite reasonable for any tourist.",Certainly! The Beach Resort package starts at $1500 per person.,131.308,0.021,0.575,1.0,0.138
1,3,Can you provide me the exact price of the package?,"The package will cost you $21,900.","$7,000.",40.764,0.0,0.593,0.0,0.0
1,5,What facilities are available at the Beach Resort?,"This package will give you a true beachfront vibe and offers a wide range of amenities like Scuba Diving, Beach Games, Jet Skiing, Kids Club, Beachfront Lounging, and Scooter Rentals, creating the perfect vacation experience for you.","We have swimming pools, a spa, and a private beach.",47.145,0.004,0.549,1.0,0.17
1,7,I don??ª?t want to experience beach games. Please remove the Beach Games amenity.,"Sure, we can remove the Beach Games service, and then we can offer you a better budget option with a beachfront lounging service. The total package will cost you only $21,900.","Okay, I’ve removed Beach Games from the package.",454.591,0.013,0.517,1.0,0.244
1,9,"Okay, I would like to remove the Beach Games service.",Thanks for your confirmation; we are removing Beach Games as a service.,"Okay, removing Beach Games. The total package cost is $21,900.",225.191,0.122,0.494,1.0,0.261
1,11,I would like to go for Scuba Diving. Please add Scuba Diving to the package.,"Sure, I??ª?ll add Scuba Diving to your package. The total tour cost is now $23,200.","Okay, we’ll add Scuba Diving to the package. The total cost will be $21,900.",32.592,0.436,0.766,1.0,0.545
1,13,"Okay, I??ª?ll go for the package at $23,200.","Considering the package with beachfront lounging, this package will now cost $24,400, as it includes everything to make your holidays thrilling and enjoyable.",Great! Let's finalize your booking then.,81.369,0.003,0.386,1.0,0.065
1,15,"It would be great if you could offer me a concession. I can only pay up to $18,100.","This package has everything to provide you with a thrilling beach experience. Please reconsider your budget, as the actual price is $23,200.","Certainly, let me see what concessions I can offer. Okay, I can offer you a discount of $5,100, bringing the total to $13,000.",18.566,0.028,0.554,0.955,0.167
1,17,"Okay, I would like to add Treehouse as an amenity.",Thank you for confirming. We are adding Treehouse as an amenity.,"Certainly, we can add a Treehouse to your package. The total cost will be $25,600.",55.92,0.022,0.542,1.0,0.148
1,19,I??ª?ll accept the deal now.,Thank you so much for your trust! We hope you enjoy the tour package. Please feel free to reach out if you need any further assistance. Have a wonderful trip!,"Great! Your total will be $24,400.",38.894,0.0,0.389,1.0,0.054
2,1,Hey! I want to buy this Cultural Tour package. What will be the cost?,"This package offers great services like Accommodation, Transportation, Meals, and Guided City Tours.","Okay, let's take a look. The Cultural Tour package costs $850 per person.",35.604,0.025,0.461,1.0,0.148
2,3,I would like to do some crafts. Please add a Crafts Workshop to the package.,"Thanks for confirming. After adding the Crafts Workshop amenity, the final tour cost is $16,400.","Okay, I’ll add a Crafts Workshop to your package. Let me check the cost.",141.66,0.12,0.512,1.0,0.258
2,5,I do not need a cooking experience with my tour. Please remove it from the package.,"No problem. Instead, I recommend an alternative option: a Cultural Shopping Excursion. This will fit within your proposed budget and enhance your tour experience.","Okay, the cooking experience has been removed. The final tour cost is $16,400.",62.332,0.011,0.487,1.0,0.105
2,7,"Okay, I would like to add the Cultural Shopping Excursion.",Thank you for confirming. We are adding the Cultural Shopping Excursion as an amenity.,"Great! The total cost for the package with the Cultural Shopping Excursion is $16,400.",67.014,0.287,0.493,1.0,0.345
2,9,"I want this package, but I cannot increase my budget.","This experience is truly worth it. The updated price will be $18,000, which includes everything you requested. I assure you it's a great value for your budget.","Okay, let's see what we can do.",10.789,0.0,0.324,1.0,0.054
2,11,"That's beyond my budget. I can't go higher than $13,000. Sorry, but can you lower the price?","This package offers the best services in the locality. If you compare the cost with similar services, our rate of $16,000 is competitive.","Let me see what I can do. I can remove the Crafts Workshop to bring the price down to $15,400. Would you like me to proceed?",49.001,0.021,0.498,0.96,0.118
2,13,"Okay, I do not want to add any extra service.",No problem; we have removed the additional service from your package.,"Okay, let's proceed with the package as it is then. The total cost is $16,000.",23.775,0.022,0.478,1.0,0.143
2,15,What type of accommodations are available in the Cultural Tour package?,"This package provides excellent accommodations, transportation, meals, and city tours. You??ª?ll experience unique culture through guided city walks, culinary experiences, crafts workshops, city tour extensions, and a cultural shopping excursion.",We offer luxury hotels and boutique accommodations.,443.467,0.002,0.554,1.0,0.105
2,17,"I??ª?m willing to go a bit higher because of the added amenities, but I cannot exceed $13,000.","Consider the adventurous experience this package offers for you and your family. We can provide an accommodation option at a total cost of $12,000, which is well worth the price.","Okay, let's see what we can do. The package with all amenities is $18,000. I can offer it to you for $16,500.",9.879,0.023,0.593,1.0,0.321
2,19,"I think $13,400 is still a bit high for my budget. Could you please reduce the price to $12,000?","As per your request, if you can increase your budget slightly from $13,000 to $13,700, that would be the best feasible option we can offer.","Certainly, let’s adjust the price to $12,000.",39.93,0.005,0.574,1.0,0.167
2,21,"Sorry, I cannot go up to $16,000 for the package. $13,700 is the maximum I can offer. I hope you understand.","Thank you for your time. Unfortunately, we cannot reduce the price further. We hope you find an option that works well for you.","Understood. Let's proceed with the $13,700 package then.",76.029,0.006,0.419,1.0,0.061
3,1,Hi! I am interested. Can you tell me the package price of the Cultural Heritage Tour?,"Sure! This package will bring you closer to your desires and leave you with lifetime memories. You can get this beautiful package for just $48,000.",Certainly! The Cultural Heritage Tour package is $1200 per person.,124.188,0.007,0.543,1.0,0.056
3,3,"Please remove the language interpreter services, as I already have someone with interpreter skills.","That's fine if you want to remove the language interpreter services. As an alternative, I would recommend adding a souvenir shopping service, which would bring the tour cost down to $21,500.","Okay, I’ve removed the language interpreter services. The price is now $46,000.",51.964,0.062,0.619,1.0,0.298
3,5,"No, I am not interested in the souvenir shopping service.",Thanks for confirming. We are removing the souvenir shopping service from your package.,"Okay, no problem.",196.439,0.0,0.368,1.0,0.0
3,7,"I want to learn the culture and language, so please add the interpreter service back.","Sure, I will add the language interpreter services. The final tour cost is $21,500.","Okay, let's add the interpreter service back. The total cost will be $26,500.",55.65,0.182,0.765,1.0,0.533
3,9,"Yes, we can go for it.","Great! Sir, would you like to try art and craft workshops? Adding it will keep the cost at only $21,500.",Great! Let’s book it then.,78.893,0.005,0.505,1.0,0.148
3,11,"Okay, I would like to add the art and craft workshops.",Thank you for confirming. We are adding the art and craft workshops to your tour package.,"Okay, adding the art and craft workshops. The total cost is $21,500.",64.287,0.279,0.567,1.0,0.414
3,13,That??ª?s okay.,Thank you for your confirmation. It??ª?s been a pleasure discussing this with you. Let??ª?s close the deal and finalize the arrangements!,"Perfect! So, the final price is $21,500.",28.745,0.007,0.373,1.0,0.129
4,1,"Hi, I need to plan a budget-friendly trip. Can you tell me the pricing of the Family Adventure Expedition: Fun for Everyone?","Sir, this package offers great value amenities, including Family-Friendly Excursions and Sightseeing Tours, Children's Activity Programs, and Supervision.",Certainly! The Family Adventure Expedition starts at $1299 per person.,176.653,0.0,0.496,1.0,0.067
