conversation_id,turn_no,utterance,new_agent_reply,qween Single Response,PPL,BLEU-2,BERTScore-F1,Distinct-2,ROUGE-1
0,1,"Hey, I want to book the Wellness Retreat. Could you please tell me about the package details?","The package has lots of amenities like Health Retreat, Fitness Classes, Relaxation, Nature Walks, Spas, Yoga, and Meditation, which will provide you with a fresh mind and body, making you relaxed and tension-free.","Sure! Our Wellness Retreat includes daily yoga and meditation sessions, spa treatments (massages, facials), organic meals, accommodation in private rooms, and optional activities like nature walks or wellness workshops. Packages range from 3 to 7 days. Would you like details on a specific duration or to proceed with booking?",1.0,0.016,0.602,1.0,0.313
0,3,Can you tell me more about the package?,"The package will cost you $15,000.","The Wellness Retreat includes daily guided yoga and meditation sessions, personalized fitness classes (like Pilates and HIIT), 3-hour nature hikes in scenic trails, and 2-hour spa sessions with massages, facials, and Ayurvedic therapies. All meals are organic and plant-based, with optional dietary accommodations. Stay in private eco-friendly cottages with mountain views. The 7-day package starts at $1,200 per person. Would you like availability or customization options?",1.0,0.008,0.458,1.0,0.076
0,5,"Yes, but I can increase it to $15,000.","You don't have to compromise on anything. Even the best luxurious hotel can be included with this amount. The updated amenities are Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. The previous amenities remain the same.","Agent: Great! The Wellness Retreat package is fixed at $15,000. Would you like to proceed with booking this package?",1.0,0.011,0.453,1.0,0.161
0,7,"Okay, let me proceed with this budget, but please don't overcharge me.","As far as your budget is concerned, you have options for Accommodation, Healthy Cuisine, and Yoga and Meditation, along with amenities like Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. You will never regret the experience.","Your total cost is fixed at $15,000, covering all listed amenities (luxury hotel, therapies, classes, etc.). No hidden charges—just a seamless wellness experience. Ready to book? Let me know!",1.0,0.015,0.558,1.0,0.167
0,9,"No, thanks. I would prefer to explore different cities rather than staying in a Spa resort for the whole day.","Thanks for your time, we are removing the Spa resort service.","Understood! If you'd prefer exploring cities, I can help you plan a cultural or sightseeing tour. Let me know your preferred destinations or interests!",1.0,0.013,0.419,1.0,0.056
0,11,What about the accommodation facility in the Wellness Retreat?,"This package offers a range of amenities like Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks, allowing you to enjoy both adventurous activities and peaceful leisure time.","The Wellness Retreat includes comfortable, wellness-focused accommodations such as private rooms or suites with amenities like cozy bedding, natural decor, and access to retreat facilities. Options may include boutique hotels, eco-lodges, or serene wellness centers, all within your $15,000 budget. Let me know if you’d like to refine preferences!",1.0,0.041,0.584,1.0,0.169
0,13,"I have my own budget that I'm willing to pay, but please don't mislead me.","Yes, we offer the same facilities and services separately. You can opt for that by paying only $19,000. If you need something more, please provide us with your budget, and we will customize the package accordingly.","You're all set! The $15,000 covers the package as described, with no hidden fees. We’ll tailor the accommodation and activities (like city explorations) to fit your preferences within this budget. Let me finalize the details for you.",0.0,0.072,0.601,1.0,0.312
0,15,"I want to purchase this package, but I am planning to take another tour package after this one. Let's close the deal at $19,000.","You should consider the adventurous wildlife experience. We can provide you with an accommodation option, and the package will cost you $17,000. It's worth the price.","Agent: Great! Your Wellness Retreat at $19,000 is confirmed, including all listed amenities. For your next tour, enjoy a **10% discount** on any future package with us. Let us know your preferences when you're ready!",1.0,0.013,0.538,1.0,0.123
0,17,"I cannot increase my budget for this, so let's call off the deal.","You will get many options within your range that you can enjoy, learn new things from, and never regret your decision. Please reconsider your budget.",Agent: Understood! Thank you for considering our Wellness Retreat. Feel free to reach out anytime if your plans change or if you need assistance with future travel. Safe travels! 😊,1.0,0.015,0.469,1.0,0.111
0,19,I will look for a few options before making my final decision. You are offering a lot of things. Do you have any customer loyalty programs?,"Dear Sir, we cannot go below certain limits. Thank you for your understanding. If you have any further questions or would like to proceed with the package, feel free to reach out. Have a great day ahead!","We do offer a **Loyalty Program** with benefits like exclusive discounts, early access to new packages, and bonus points for future bookings. If you’re interested, I can share the details via email. Let me know! 😊",1.0,0.023,0.48,1.0,0.274
